"Story","Title","Result","Date","Stability","Duration (s)"
"Verify correct login into the app XYZ","Verify correct login","SUCCESS","2023-04-26T19:36:24.184-05:00[America/Bogota]","0.0","34.18"
"Verify correct login into the app XYZ","Create a new event on calendar","PENDING","2023-04-26T19:36:58.364-05:00[America/Bogota]","0.0","0.01"
